city,year,january,february,march,april,may,june,july,august,september,october,november,december
boston,2014,1159,1007,977,502,201,28,0,0,77,273,672,828
boston,2015,1203,1282,980,507,138,100,1,0,33,342,493,603
boston,2016,1002,876,690,538,238,17,7,0,47,308,552,916
seattle,2014,635,643,496,381,183,94,11,8,42,207,561,599
seattle,2015,614,442,434,400,180,28,1,8,139,229,619,674
seattle,2016,650,497,475,253,159,85,11,10,106,301,424,830
chicago,2014,1520,1327,1023,486,195,12,5,0,107,395,936,1015
chicago,2015,1314,1405,910,458,187,39,13,5,37,314,606,801
chicago,2016,1238,995,665,516,225,13,0,0,23,265,518,1035
detroit,2014,1500,1274,1124,477,170,13,8,5,110,394,870,969
detroit,2015,1350,1417,942,447,112,22,3,7,36,321,566,734
detroit,2016,1132,974,676,555,196,14,0,0,31,299,535,1110
